Date,Open,High,Low,Close,Volume,Range,Range (BTC),Action
1/19/15,211.470993,216.727997,207.317993,214.860992,18658300,9.410004,0.044144021,Hold
1/20/15,212.906998,215.240997,205.153,211.315002,24051100,10.087997,0.04755999,Hold
1/21/15,211.378006,227.787994,211.212006,226.897003,29924600,16.575988,0.075641949,Hold
1/22/15,227.322006,237.018997,226.434006,233.406006,33544600,10.584991,0.04594898,Hold
1/23/15,233.516998,234.845001,225.195999,232.878998,24621700,9.649002,0.041376865,Hold
1/24/15,232.699997,248.210007,230.022003,247.847,24782500,18.188004,0.075697087,Hold
1/25/15,247.352005,255.074005,243.889999,253.718002,33582700,11.184006,0.044640493,Hold
1/26/15,254.078995,309.384003,254.078995,273.472992,106794000,55.305008,0.209666571,Hold
1/27/15,273.166992,275.480011,250.653,263.475006,44399000,24.827011,0.092527276,Hold
1/28/15,263.351013,266.535004,227.046005,233.914993,44352200,39.488999,0.158824446,Hold
1/29/15,233.348007,238.705994,220.712006,233.513,32213400,17.993988,0.07708499,Hold
1/30/15,232.772003,242.850998,225.839005,226.425003,26605200,17.011993,0.074094529,Hold
1/31/15,226.440994,233.503998,216.309006,217.464005,23348200,17.194992,0.077471495,Hold
2/1/15,216.867004,231.574005,212.014999,226.972,29128500,19.559006,0.088135589,Hold
2/2/15,226.490997,242.175003,222.658997,238.229004,30612100,19.516006,0.083990385,Hold
2/3/15,237.453995,245.957001,224.483002,227.268005,40783700,21.473999,0.092416537,Hold
2/4/15,227.511002,230.057999,221.113007,226.852997,26594300,8.944992,0.039373683,Hold
2/5/15,227.664993,239.404999,214.725006,217.110992,22516400,24.679993,0.110977183,Hold
2/6/15,216.923004,230.509995,216.231995,222.266006,24435300,14.278,0.065019842,Hold
2/7/15,222.632996,230.298996,222.606995,227.753998,21604200,7.692001,0.034157296,Hold
2/8/15,227.692993,229.438004,221.076996,223.412003,17145200,8.361008,0.037069011,Hold
2/9/15,223.389008,223.977005,217.018997,220.110001,27791300,6.958008,0.031377784,Hold
2/10/15,220.281998,221.807007,215.332001,219.839005,21115100,6.475006,0.029423754,Hold
2/11/15,219.731995,223.406006,218.074005,219.184998,17201900,5.332001,0.02429617,Hold
2/12/15,219.207993,222.199005,217.613998,221.764008,15206200,4.585007,0.020795003,Hold
2/13/15,221.968994,240.259003,221.261993,235.427002,42744400,18.99701,0.083065922,Hold
2/14/15,235.528,259.808014,235.528,257.321014,49732500,24.280014,0.098529218,Hold
2/15/15,257.506989,265.610992,227.684006,234.824997,56552400,37.926986,0.154070778,Hold
2/16/15,234.824997,239.520996,229.022003,233.843002,28153700,10.498993,0.044803541,Hold
