Date,Close,Volume,Action
9/17/14,457.3340149,21056800,Buy
9/18/14,424.4400024,34483200,Buy
9/19/14,394.79599,37919700,Buy
9/20/14,408.9039917,36863600,Buy
9/21/14,398.8210144,26580100,Buy
9/22/14,402.1520081,24127600,Buy
9/23/14,435.7909851,45099500,Buy
9/24/14,423.2049866,30627700,Buy
9/25/14,411.5740051,26814400,Buy
9/26/14,404.4249878,21460800,Buy
9/27/14,399.519989,15029300,Buy
9/28/14,377.1809998,23613300,Buy
9/29/14,375.4670105,32497700,Buy
9/30/14,386.9440002,34707300,Buy
10/1/14,383.6149902,26229400,Buy
10/2/14,375.071991,21777700,Buy
10/3/14,359.5119934,30901200,Buy
10/4/14,328.8659973,47236500,Buy
10/5/14,320.5100098,83308096,Buy
10/6/14,330.07901,79011800,Buy
10/7/14,336.1870117,49199900,Buy
10/8/14,352.9400024,54736300,Buy
10/9/14,365.026001,83641104,Buy
10/10/14,361.5620117,43665700,Buy
10/11/14,362.2990112,13345200,Buy
10/12/14,378.5490112,17552800,Buy
10/13/14,390.4140015,35221400,Buy
10/14/14,400.8699951,38491500,Sell
10/15/14,394.7730103,25267100,Buy
10/16/14,382.5559998,26990000,Buy
10/17/14,383.7579956,13600700,Buy
10/18/14,391.4419861,11416800,Buy
10/19/14,389.54599,5914570,Buy
10/20/14,382.8450012,16419000,Buy
10/21/14,386.4750061,14188900,Buy
10/22/14,383.1579895,11641300,Buy
10/23/14,358.4169922,26456900,Buy
10/24/14,358.3450012,15585700,Buy
10/25/14,347.2709961,18127500,Buy
10/26/14,354.70401,11272500,Buy
10/27/14,352.9890137,13033000,Buy
10/28/14,357.6180115,7845880,Buy
10/29/14,335.5910034,18192700,Buy
10/30/14,345.3049927,30177900,Buy
10/31/14,338.3210144,12545400,Buy
11/1/14,325.7489929,16677200,Buy
11/2/14,325.8919983,8603620,Buy
11/3/14,327.5539856,12948500,Buy
11/4/14,330.4920044,15655500,Buy
11/5/14,339.4859924,19817200,Buy
11/6/14,349.2900085,18797000,Buy
11/7/14,342.4150085,16834200,Buy
11/8/14,345.4880066,8535470,Buy
11/9/14,363.2640076,24205600,Buy
11/10/14,366.9240112,30450100,Buy
11/11/14,367.6950073,15838900,Buy
11/12/14,423.5610046,45783200,Sell
11/13/14,420.7349854,58945000,Sell
11/14/14,397.8179932,29589200,Buy
11/15/14,376.1329956,15727500,Buy
11/16/14,387.8819885,11905600,Buy
11/17/14,387.4079895,41518800,Buy
11/18/14,375.197998,32222500,Buy
11/19/14,380.5549927,18931800,Buy
11/20/14,357.8399963,25233200,Buy
11/21/14,350.8479919,29850100,Buy
11/22/14,352.9200134,15273000,Buy
11/23/14,367.572998,15151600,Buy
11/24/14,376.901001,30930100,Buy
11/25/14,375.3479919,25442200,Buy
11/26/14,368.3699951,18601700,Buy
11/27/14,369.6700134,8748030,Buy
11/28/14,376.446991,22946500,Buy
11/29/14,375.4909973,15375600,Buy
11/30/14,378.0469971,9194440,Buy
12/1/14,379.2449951,11763000,Buy
12/2/14,381.3150024,12364100,Buy
12/3/14,375.0100098,13340100,Buy
12/4/14,369.6040039,14529600,Buy
12/5/14,376.8540039,15181800,Buy
12/6/14,374.7850037,7009320,Buy
12/7/14,375.0950012,6491650,Buy
12/8/14,361.9089966,18898700,Buy
12/9/14,352.2189941,32915500,Buy
12/10/14,346.3649902,16427700,Buy
12/11/14,350.506012,32431300,Buy
12/12/14,352.5419922,16989800,Buy
12/13/14,347.3760071,11675900,Buy
12/14/14,351.6319885,12415200,Buy
12/15/14,345.3450012,17264200,Buy
12/16/14,327.0620117,30864900,Buy
12/17/14,319.776001,37567900,Buy
12/18/14,311.3959961,39173000,Buy
12/19/14,317.8429871,23823100,Buy
